iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
AUS,JPN,0,0,0,0,7831.446,8.965902446264145,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,KAZ,0,0,0,0,11415.23,9.34270370768776,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,KHM,0,0,0,0,7037.221,8.858968626901857,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,KOR,0,0,0,0,8329.652,9.027576957577534,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,LAO,0,0,0,0,7731.611,8.953072528664267,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,LTU,0,0,0,0,15291.39,9.635045203882036,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,LUX,0,0,0,0,16686.87,9.722377461620962,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,LVA,0,0,0,0,15331.2,9.637645246688804,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,MAR,0,0,0,0,18008.29,9.7985874864107,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,MEX,0,0,0,0,12985.17,9.471563216040414,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,MLT,0,1,0,0,16101.02,9.686637903003039,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,MMR,0,0,0,0,8107.946,9.000599847460911,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,MYS,0,0,0,0,6617.087,8.79741052187787,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,NGA,0,1,0,0,15521.28,9.649967264563202,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,NLD,0,0,0,0,16658.11,9.72065246390727,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,NOR,0,0,0,0,15963.53,9.678062024492426,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,NZL,0,1,0,0,2333.461,7.755107852158283,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,PAK,0,1,0,0,11079.12,9.312817534764479,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,PER,0,0,0,0,12809.17,9.457916599661248,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,PHL,0,1,0,0,6275.747,8.744447800739533,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,POL,0,0,0,0,15607.68,9.655518379786262,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,PRT,0,0,0,0,18190.62,9.808661355593202,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,RUS,0,0,0,0,14503.07,9.582115630136204,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,SAU,0,0,0,0,12782.14,9.455804163052763,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,SEN,0,0,0,0,17604.14,9.775889380637373,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,SGP,0,1,0,0,6301.786,8.748588364266833,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,SVK,0,0,0,0,15930.48,9.675989534276882,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,SVN,0,0,0,0,16152.8,9.689848688236165,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,SWE,0,0,0,0,15608.91,9.655597184037504,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
