iso_o,iso_d,log_dist
BRA,UKR,9.319664621650876
BRA,USA,8.94823598373794
BRA,VNM,9.7521808248406
BRA,ZAF,8.757015908861296
BRN,ARG,9.720571419016458
BRN,AUS,8.658084061530001
BRN,AUT,9.234162361782062
BRN,BEL,9.306436606394978
BRN,BGD,8.12096627946539
BRN,BGR,9.188205288618027
BRN,BLR,9.149265073620331
BRN,BRA,9.751115207201014
BRN,CAN,9.577607124145786
BRN,CHE,9.298884989618069
BRN,CHL,9.72921154334998
BRN,CHN,8.2678083288968
BRN,CIV,9.484690213893224
BRN,CMR,9.347228624038305
BRN,COL,9.825084291901247
BRN,CRI,9.761278042309009
BRN,CYP,9.098144996231227
BRN,CZE,9.243906667459786
BRN,DEU,9.28841098249765
BRN,DNK,9.243065031385761
BRN,EGY,9.120158300917288
BRN,ESP,9.393961916752817
BRN,EST,9.164991584471482
BRN,FIN,9.163151904405638
BRN,FRA,9.32539346249868
BRN,GBR,9.330407020425165
BRN,GRC,9.188811275188861
BRN,HKG,7.565891154386697
BRN,HRV,9.241527944138927
BRN,HUN,9.215831269369456
BRN,IDN,7.335120812468627
BRN,IND,8.470749382401356
BRN,IRL,9.355161668122667
BRN,ISL,9.355500759965308
BRN,ISR,9.082741518419358
BRN,ITA,9.275478088560302
BRN,JOR,9.07011887902383
BRN,JPN,8.357113167721296
BRN,KAZ,8.642149548285593
BRN,KHM,7.193706854988267
BRN,KOR,8.249440535608148
BRN,LAO,7.589582631355381
BRN,LTU,9.163939196898518
BRN,LUX,9.299317814990772
BRN,LVA,9.17049654472763
BRN,MAR,9.437637684467374
BRN,MEX,9.643230616092401
BRN,MLT,9.271273652035115
BRN,MMR,7.798965713125748
BRN,MYS,7.30411034975829
BRN,NGA,9.41887777090103
BRN,NLD,9.29810305000183
BRN,NOR,9.242288550393285
BRN,NZL,8.99759012269585
BRN,PAK,8.58923251109736
BRN,PER,9.824990732695372
BRN,PHL,7.140721628265067
BRN,POL,9.19546680686922
BRN,PRT,9.434747924104675
BRN,RUS,9.078808806934253
BRN,SAU,8.933965201567826
BRN,SEN,9.571562362412319
BRN,SGP,7.170370281243049
BRN,SVK,9.228517168521602
BRN,SVN,9.251775938222801
BRN,SWE,9.203676819743501
BRN,THA,7.5309675373217875
BRN,TUN,9.304429806974671
BRN,TUR,9.140198554989775
BRN,UKR,9.127143202548858
BRN,USA,9.60694231804894
BRN,VNM,7.6218186822469445
BRN,ZAF,9.298610373232547
CAN,ARG,9.101652549188527
CAN,AUS,9.654170699201806
CAN,AUT,8.842537744376385
CAN,BEL,8.704756652061588
CAN,BGD,9.430673577966747
CAN,BGR,8.952834775044195
CAN,BLR,8.876016206597109
CAN,BRA,9.010834364668057
CAN,BRN,9.577607124145786
CAN,CHE,8.7703951483048
