iso_o,iso_d,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,UKR,4.0067,4.7591,7.0073,12.4452,21.2007,42.8857,51.6916,75.3635,125.7334,46.2908,87.6985,86.9383,99.7503,97.5767,56.2875,38.1634,57.5247,51.626,51.029,44.9889,42.3986
ARG,USA,3088.3019,2895.9367,3125.1751,3138.7847,3748.7247,4596.362,4030.3996,4403.6405,5531.0728,3749.7465,3676.7401,4339.8368,4147.5992,4394.9567,4043.2986,3850.831,4702.4837,4849.3122,4564.3071,4543.3254,3787.2843
ARG,VNM,28.3682,57.2092,74.9156,145.1634,153.389,225.5677,216.3873,356.473,346.449,543.8161,719.9048,755.6173,827.3237,1160.8328,1552.962,1882.3065,2486.4331,2299.9288,2167.8108,2870.8276,2926.066
ARG,ZAF,223.296,283.412,263.7932,199.1618,357.8458,461.199,906.8088,969.7126,966.1996,735.2559,908.8564,1096.6199,1030.6678,725.7258,523.4386,687.266,835.1207,520.4536,512.7063,597.7284,354.0754
AUS,ARG,69.6251,49.785,40.8059,56.5322,64.9013,125.3271,135.4345,134.2259,261.6244,179.7517,315.7574,401.9293,268.361,191.8018,136.2413,249.628,151.0248,253.052,366.5855,224.7847,149.8637
AUS,AUT,29.8314,39.5184,30.2608,46.57,67.6635,75.2182,79.505,93.2785,79.5091,53.6656,65.582,99.6216,77.9669,66.7932,75.6036,68.9242,85.2195,83.8323,83.5453,65.0899,68.7461
AUS,BEL,540.1522,456.7884,503.8292,516.0102,666.2248,942.7966,1371.2024,1535.6884,1403.4507,784.9792,897.4482,1278.2964,1542.2836,1087.9891,940.3809,752.0023,583.2647,825.9012,716.4893,765.2443,527.1629
AUS,BGD,199.1758,215.7204,200.8159,154.6312,238.198,206.2928,153.7453,180.9617,225.5378,330.2859,592.6541,489.5666,496.8711,528.9799,493.9884,520.9819,458.5309,911.4821,673.9343,635.504,561.6122
AUS,BGR,3.5857,8.7465,25.2747,59.3791,61.6228,66.475,46.5465,40.463,45.172,14.2757,6.6962,9.0131,70.5698,198.9673,86.7928,121.6303,54.2905,13.2108,60.615,18.2994,65.4361
AUS,BLR,1.6869,1.6064,0.4312,0.7882,0.812,2.1592,1.7228,2.1463,3.0411,4.236,2.5998,2.394,1.7573,4.0697,0.5263,4.9558,6.3354,3.0487,4.4693,5.568,5.0908
AUS,BRA,389.2009,315.6755,231.1317,305.7029,365.9393,606.5242,630.5818,684.7707,1259.6505,795.0972,1273.6509,1664.5407,1067.6396,1049.9678,1063.6348,1044.6285,806.558,1288.2973,1108.4296,843.8195,558.6106
AUS,BRN,29.6088,31.5555,31.6428,32.5987,32.8116,22.9897,25.8973,28.8572,29.7787,31.0404,40.1132,42.2174,41.6494,47.5642,41.9741,38.8558,35.8903,36.4918,41.1721,38.2876,319.0556
AUS,CAN,892.6035,920.3322,997.7242,1099.9223,1327.0549,1315.9597,1261.3196,1459.4876,1391.2916,1255.9441,1490.9475,1668.343,1799.0317,1494.9859,1194.8106,1257.1673,1461.9718,1406.4126,1629.5362,1586.7821,1603.5225
AUS,CHE,162.6951,138.1817,155.4568,172.6818,141.0427,156.1038,286.3068,1369.5353,396.459,385.1903,286.4451,633.5676,752.4604,801.0455,554.4719,546.3778,833.2685,1284.1715,1082.7326,1319.9036,2145.6091
AUS,CHL,92.3059,73.3336,84.6433,83.8903,125.93,150.5384,183.7916,199.6938,298.0988,203.5132,291.4973,498.2117,461.0839,376.4488,257.4061,243.854,333.2673,310.8308,242.6836,223.6304,277.1353
AUS,CHN,4652.1755,4974.4867,5374.6364,6618.3608,10112.2085,14358.2468,17025.4004,22519.8381,31193.9327,34920.7859,54574.2646,74116.014,78275.5454,92742.9423,87648.8936,66312.0358,64990.4995,84626.7425,95434.3971,109688.6512,104361.1189
AUS,CIV,1.6452,1.9192,1.8772,1.0887,2.0872,2.4102,2.0049,9.7216,14.6838,12.6525,14.6578,13.7521,13.9577,26.2102,10.9835,18.041,25.966,41.1396,56.7802,50.828,34.333
AUS,CMR,0.6723,2.4134,1.5954,1.8409,1.2992,9.2868,1.3732,5.2955,13.3262,2.0842,4.2182,5.5667,2.7048,3.5306,3.2542,3.9858,6.449,4.9157,1.9649,1.9257,1.785
AUS,COL,12.4014,16.6136,20.1012,54.6117,29.523,19.9261,24.908,27.0222,43.5567,58.459,34.1309,49.0894,43.0933,55.8987,39.8119,36.4192,43.5894,40.6607,45.7372,35.6714,28.4983
AUS,CRI,3.7362,3.9654,1.5191,1.9407,4.0927,4.8293,9.7354,27.3255,19.3465,45.6965,10.8117,18.2699,10.2996,5.1117,5.5247,6.7518,8.332,6.2616,6.8355,4.3957,5.7476
AUS,CYP,8.1176,8.3872,7.6537,8.0954,8.9727,7.7054,9.5084,12.7253,11.0333,7.4148,8.7648,8.1438,5.6345,4.1761,9.2712,2.8946,3.151,4.0352,3.8262,6.7586,4.2467
AUS,CZE,45.3478,57.7002,49.7966,53.625,65.374,76.4188,91.4332,94.9683,120.9783,74.1077,95.8802,134.4272,140.5193,136.7897,131.7254,129.7426,133.0132,147.7807,165.7815,118.9145,89.8516
AUS,DEU,949.4417,926.8368,991.4048,937.34,1186.3094,1239.0654,1605.1165,1742.6644,2208.036,1890.0245,2397.8714,3295.9197,2609.7128,2163.7757,1738.1767,1561.8815,1780.4,2223.3912,2151.5249,2336.7182,2347.1731
AUS,DNK,76.8026,53.8166,67.999,99.0242,129.7747,146.2782,148.8903,149.1834,150.7753,125.8802,126.6647,209.0426,156.2868,158.3952,103.5501,108.3985,107.3611,177.7241,71.9414,141.0568,76.2607
AUS,EGY,346.6294,479.815,352.1633,161.9225,254.8353,271.3412,233.1647,227.5004,240.9527,311.6936,491.1542,552.055,453.4677,408.5067,384.0822,370.5299,303.8945,378.7143,418.5525,350.1397,347.0859
AUS,ESP,420.1367,404.0227,403.7978,449.7203,502.9196,726.0056,913.8667,939.3534,955.9232,459.961,733.8989,1046.5755,642.7582,447.244,637.8511,469.0397,520.5769,582.9104,674.1957,443.9861,319.3722
AUS,EST,0.7055,0.9499,0.8438,1.5242,2.4951,3.5842,3.7723,4.8315,6.7752,4.8911,3.7808,15.2555,6.6167,5.4494,6.2262,5.1743,6.3729,6.9906,6.7544,11.6397,9.879
AUS,FIN,266.8913,211.7721,198.6059,289.2925,403.8967,328.7505,913.6631,1067.2539,820.735,254.4733,334.0014,289.3173,164.7923,97.508,57.2245,74.9742,93.1554,64.1584,90.1513,60.5412,117.0475
AUS,FRA,625.9091,652.2307,730.618,847.8211,954.7984,1070.3145,1242.092,1281.3415,1828.5075,1139.871,1415.8107,1294.5283,1255.2456,1240.9088,1036.9115,929.388,929.6366,1205.1882,1197.2945,1171.6872,935.3449
AUS,GBR,3786.1222,3028.6756,3276.8641,5145.0754,4052.4089,3890.0481,6043.1257,6159.8672,7836.1374,6255.4523,7041.4563,7670.2423,6765.988,3448.8813,3256.7156,2713.816,7175.4903,4573.7326,3467.9956,10430.0783,9867.364
AUS,GRC,128.2547,47.1765,28.8665,32.1169,46.492,32.7841,33.3349,90.3452,54.4281,44.043,27.4781,30.9434,22.3262,10.3897,11.8477,9.8723,10.906,15.1694,21.5915,22.6112,37.524
AUS,HKG,1915.8051,1986.9061,1728.3713,1614.4033,1590.2838,1653.8897,2038.5708,1832.1392,1919.6911,1843.8114,2407.9571,2507.2824,4556.9342,7488.2781,5720.7578,2217.2709,2097.6737,4553.2598,3250.0471,2055.2565,3667.7595
AUS,HRV,6.2476,10.4642,9.9841,15.2723,9.8988,5.9862,13.4355,9.2351,8.1542,10.4767,27.6495,5.5979,3.2984,1.7903,3.1059,2.6913,8.6901,3.5107,2.3842,4.132,7.6494
AUS,HUN,14.1566,22.1001,17.0892,27.5152,23.3976,18.2277,15.9421,10.6123,17.0731,10.1643,12.3194,18.0196,17.9665,22.509,16.7082,22.3059,21.053,34.6519,30.8866,35.8301,34.0713
