iso_o,TIME_PERIOD,schooling
DNK,2017,18.82432938
DNK,2018,18.72179985
DNK,2019,18.62013054
DNK,2020,18.64031982
EGY,2000,10.77771521
EGY,2001,10.86091995
EGY,2002,10.88712978
EGY,2003,10.73254967
EGY,2004,10.78256035
EGY,2005,10.83143012
EGY,2006,10.88029989
EGY,2007,10.92916965
EGY,2008,11.00654984
EGY,2009,11.08393002
EGY,2010,11.19958019
EGY,2011,11.21022987
EGY,2012,11.57713032
EGY,2013,11.80953979
EGY,2014,11.73950958
EGY,2015,11.88743496
EGY,2016,12.03536034
EGY,2017,12.16487026
EGY,2018,12.43317032
EGY,2019,12.67249012
EGY,2020,12.91180992
ESP,2000,15.8646698
ESP,2001,15.92284966
ESP,2002,15.97021961
ESP,2003,15.89052963
ESP,2004,15.93443966
ESP,2005,15.98174
ESP,2006,15.93113041
ESP,2007,15.91164017
ESP,2008,15.8737402
ESP,2009,15.95915985
ESP,2010,16.40280914
ESP,2011,16.7514801
ESP,2012,16.98982048
ESP,2013,17.16381073
ESP,2014,17.28533936
ESP,2015,17.40423965
ESP,2016,17.43898964
ESP,2017,17.48012924
ESP,2018,17.51925087
ESP,2019,17.50081062
ESP,2020,17.4695797
EST,2000,15.16271973
EST,2001,15.65767956
EST,2002,15.94836044
EST,2003,16.09065056
EST,2004,16.25458908
EST,2005,16.49143982
EST,2006,16.45730972
EST,2007,16.43349075
EST,2008,16.2975502
EST,2009,16.31830025
EST,2010,16.50847054
EST,2011,16.6350193
EST,2012,16.60737038
EST,2013,16.49702072
EST,2014,16.26988983
EST,2015,16.04608917
EST,2016,15.95291996
EST,2017,15.81396008
EST,2018,15.75247955
EST,2019,15.74028969
EST,2020,15.77509975
FIN,2000,17.68334961
FIN,2001,17.98135948
FIN,2002,18.07708931
FIN,2003,18.29443932
FIN,2004,17.11433983
FIN,2005,17.19054985
FIN,2006,17.17551994
FIN,2007,17.13093948
FIN,2008,17.10404968
FIN,2009,16.8861599
FIN,2010,17.02306938
FIN,2011,17.11375046
FIN,2012,17.10630035
FIN,2013,19.3260994
FIN,2014,19.25424957
FIN,2015,19.31086922
FIN,2016,19.31080055
FIN,2017,19.37471008
FIN,2018,19.45115089
FIN,2019,19.04310989
FIN,2020,19.04858017
FRA,2000,14.93727016
FRA,2001,14.8516798
FRA,2002,14.78316021
FRA,2003,14.86872005
FRA,2004,14.85523987
FRA,2005,15.43264008
FRA,2006,15.41829014
FRA,2007,15.35235023
FRA,2008,15.2978096
FRA,2009,15.27202034
FRA,2010,15.38066006
FRA,2011,15.4170599
FRA,2012,15.48921013
FRA,2013,15.46125031
FRA,2014,15.44229031
FRA,2015,15.51356983
FRA,2016,15.62283039
FRA,2017,15.74036026
FRA,2018,15.84354973
FRA,2019,15.86798954
FRA,2020,15.95796013
GBR,2000,15.99540997
GBR,2001,16.03244019
GBR,2002,16.12564087
GBR,2003,16.10824966
GBR,2004,16.55471992
GBR,2005,16.61335945
GBR,2006,16.03326988
GBR,2007,15.90310001
GBR,2008,16.05381966
GBR,2009,16.22143936
GBR,2010,16.45923996
GBR,2011,15.77939987
GBR,2012,15.70308018
GBR,2013,17.67148972
GBR,2014,17.50748062
GBR,2015,17.32836914
GBR,2016,17.39753914
GBR,2017,17.46670914
GBR,2018,17.23929977
GBR,2019,17.32107925
GBR,2020,17.37801933
GRC,2000,15.08321953
GRC,2001,15.47509956
GRC,2002,15.00137043
GRC,2003,15.1559
GRC,2004,15.57777977
GRC,2005,16.32467079
GRC,2006,16.47640991
GRC,2007,15.9950304
GRC,2008,16.28445689
GRC,2009,16.57388337
GRC,2010,16.86330986
GRC,2011,17.04985046
GRC,2012,17.24628067
GRC,2013,17.40769005
GRC,2014,17.87471008
GRC,2015,18.29533005
GRC,2016,18.71595001
GRC,2017,19.03323936
GRC,2018,19.29426956
GRC,2019,19.64760971
GRC,2020,19.47872925
HKG,2000,12.52632846
HKG,2001,12.88881792
HKG,2002,13.26179719
HKG,2003,13.6455698
HKG,2004,13.69073009
HKG,2005,13.84333038
HKG,2006,13.93659019
HKG,2007,14.5418396
HKG,2008,15.70619965
HKG,2009,15.90507984
HKG,2010,15.82145977
HKG,2011,15.86518955
HKG,2012,16.15875053
HKG,2013,16.2155304
HKG,2014,16.31303024
HKG,2015,16.3966198
HKG,2016,16.34737015
HKG,2017,16.49121094
HKG,2018,16.80493927
HKG,2019,16.90809059
HKG,2020,17.06225014
HRV,2000,12.82217979
HRV,2001,13.54041958
HRV,2002,13.66327
HRV,2003,13.86748028
HRV,2004,14.10561991
HRV,2005,14.34375954
HRV,2006,14.47463989
HRV,2007,14.55031013
HRV,2008,14.49470997
HRV,2009,14.45388985
HRV,2010,14.69629955
HRV,2011,14.81812
HRV,2012,14.98538971
HRV,2013,15.3917799
HRV,2014,15.5668602
HRV,2015,15.61137962
HRV,2016,15.67868042
HRV,2017,15.84932995
HRV,2018,15.96850967
HRV,2019,16.03059959
HRV,2020,16.10606956
HUN,2000,14.34342003
HUN,2001,14.69447994
HUN,2002,15.05519009
HUN,2003,15.4384203
HUN,2004,15.18010998
HUN,2005,15.3645401
HUN,2006,15.45073032
HUN,2007,15.45895958
