iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist
AUT,SVN,1,0,1,0,277.8844,5.627205199872345
AUT,SWE,0,0,0,0,1242.31,7.12472782877268
AUT,THA,0,0,0,0,8450.441,9.041973908338516
AUT,TUN,0,0,0,0,1362.566,7.217124965731175
AUT,TUR,0,0,0,0,1275.02,7.150717143744008
AUT,UKR,0,0,0,0,1052.484,6.958908363540749
AUT,USA,0,0,0,0,6798.701,8.82448684350399
AUT,VNM,0,0,0,0,8254.594,9.018525172830989
AUT,ZAF,0,0,0,0,9145.618,9.12103013645311
BEL,ARG,0,0,0,0,11326.76,9.334923346665123
BEL,AUS,0,0,0,0,16759.6,9.72672650740282
BEL,AUT,0,1,0,0,914.4633,6.818337335806396
BEL,BGD,0,0,0,0,7724.392,8.952138393166887
BEL,BGR,0,0,0,0,1699.686,7.438198807101722
BEL,BLR,0,0,0,0,1601.903,7.378947576481763
BEL,BRA,0,0,0,0,9665.722,9.176341091387256
BEL,BRN,0,0,0,0,11008.65,9.306436606394978
BEL,CAN,0,1,0,0,6031.534,8.704756652061588
BEL,CHE,0,1,0,0,487.4555,6.18919900422016
BEL,CHL,0,0,0,0,11904.94,9.38470871900906
BEL,CHN,0,0,0,0,7970.82,8.983542652313709
BEL,CIV,0,1,0,0,5125.518,8.541986872069792
BEL,CMR,0,1,0,0,5272.011,8.570167162674855
BEL,COL,0,0,0,0,8874.132,9.090895806743708
BEL,CRI,0,0,0,0,9046.46,9.110128799949862
BEL,CYP,0,0,0,0,2904.975,7.974180063397002
BEL,CZE,0,0,0,0,718.4293,6.577067301234252
BEL,DEU,1,1,0,0,196.8761,5.282574596865876
BEL,DNK,0,0,0,0,767.1575,6.64269212578871
BEL,EGY,0,0,0,0,3212.434,8.074784184245347
BEL,ESP,0,0,0,0,1316.64,7.182838315857403
BEL,EST,0,0,0,0,1601.098,7.378444922866013
BEL,FIN,0,0,0,0,1651.582,7.409488895429901
BEL,FRA,1,1,0,0,262.3845,5.569810985203274
BEL,GBR,0,0,0,0,323.7796,5.780063037405839
BEL,GRC,0,0,0,0,2089.225,7.6445484627934395
BEL,HKG,0,0,0,0,9405.117,9.14900918184914
BEL,HRV,0,0,0,0,1024.412,6.93187406843091
BEL,HUN,0,0,0,0,1129.979,7.029954327462904
BEL,IDN,0,0,0,0,11416.28,9.342795685835569
BEL,IND,0,0,0,0,6419.599,8.767110933674044
BEL,IRL,0,0,0,0,775.6281,6.653673152727677
BEL,ISL,0,0,0,0,2133.168,7.665363477676373
BEL,ISR,0,0,0,0,3245.262,8.084951365478307
BEL,ITA,0,0,0,0,1174.904,7.068941721112799
BEL,JOR,0,0,0,0,3329.063,8.11044616199794
BEL,JPN,0,0,0,0,9463.263,9.155172528576854
BEL,KAZ,0,0,0,0,5345.228,8.583959479237869
BEL,KHM,0,0,0,0,9747.627,9.184779149753666
BEL,KOR,0,0,0,0,8722.114,9.073616918713993
BEL,LAO,0,0,0,0,9038.533,9.109252161456537
BEL,LTU,0,0,0,0,1469.434,7.292632571614548
BEL,LUX,1,1,0,0,187.8091,5.2354260214042645
BEL,LVA,0,0,0,0,1456.065,7.283492870617311
BEL,MAR,0,1,0,0,2078.484,7.6393940608040305
BEL,MEX,0,0,0,0,9259.353,9.133389454788807
BEL,MLT,0,0,0,0,1851.035,7.523500221092731
BEL,MMR,0,0,0,0,8702.236,9.071335283115133
BEL,MYS,0,0,0,0,10261.22,9.236127020037786
BEL,NGA,0,0,0,0,4940.509,8.505223641311327
BEL,NLD,1,1,0,0,173.0333,5.153484061523946
BEL,NOR,0,0,0,0,1087.773,6.991887765941714
BEL,NZL,0,0,0,0,19011.83,9.852816695972905
BEL,PAK,0,0,0,0,5752.112,8.657322370699493
BEL,PER,0,0,0,0,10464.8,9.255772523374016
BEL,PHL,0,0,0,0,10515.8,9.26063416703065
BEL,POL,0,0,0,0,1160.644,7.056730302463013
BEL,PRT,0,0,0,0,1711.396,7.445064690713489
BEL,RUS,0,0,0,0,2261.25,7.723673036709505
BEL,SAU,0,0,0,0,4636.352,8.44168312910102
BEL,SEN,0,1,0,0,4479.534,8.407274302141655
BEL,SGP,0,0,0,0,10571.47,9.265914142042233
BEL,SVK,0,0,0,0,971.336,6.878672443450465
BEL,SVN,0,0,0,0,916.7943,6.820883128663661
BEL,SWE,0,0,0,0,1283.716,7.157514275984539
BEL,THA,0,0,0,0,9260.542,9.13351785724483
BEL,TUN,0,1,0,0,1626.512,7.394193123691293
BEL,TUR,0,0,0,0,2179.392,7.6868012178009835
BEL,UKR,0,0,0,0,1837.307,7.516056191556928
BEL,USA,0,0,0,0,5891.711,8.681301726820829
BEL,VNM,0,0,0,0,8989.95,9.103862565714937
BEL,ZAF,0,0,0,0,9535.728,9.162800865408396
BGD,ARG,0,0,0,0,16788.4,9.728443450712403
BGD,AUS,0,0,0,0,9077.625,9.11356787350489
BGD,AUT,0,0,0,0,6911.951,8.841007221338394
BGD,BEL,0,0,0,0,7724.392,8.952138393166887
BGD,BGR,0,0,0,0,6418.821,8.766989734959411
BGD,BLR,0,0,0,0,6142.225,8.722942333348357
BGD,BRA,0,0,0,0,15665.7,9.659228887992771
BGD,BRN,0,0,0,1,3364.27,8.12096627946539
BGD,CAN,0,0,0,0,12464.92,9.430673577966747
BGD,CHE,0,0,0,0,7595.708,8.935338629908404
BGD,CHL,0,0,0,0,17888.71,9.79192506658038
BGD,CHN,0,0,0,0,3036.238,8.01837452806485
BGD,CIV,0,0,0,0,10223.82,9.232475570828532
BGD,CMR,0,0,0,0,8709.055,9.072118567978803
BGD,COL,0,0,0,0,16506.31,9.711498011025583
BGD,CRI,0,0,0,0,16236.3,9.695004755245584
BGD,CYP,0,0,0,1,5596.493,8.629895430546801
BGD,CZE,0,0,0,0,7032.401,8.85828346276759
BGD,DEU,0,0,0,0,7530.185,8.926674888885236
BGD,DNK,0,0,0,0,7103.063,8.86828137845024
BGD,EGY,0,0,0,0,5848.475,8.6739362224813
BGD,ESP,0,0,0,0,8661.471,9.066639848563533
BGD,EST,0,0,0,0,6391.63,8.762744600914647
BGD,FIN,0,0,0,0,6389.695,8.762441815403006
BGD,FRA,0,0,0,0,7916.79,8.976741099620696
BGD,GBR,0,0,1,0,8011.9,8.988683215429734
BGD,GRC,0,0,0,0,6427.326,8.768313867595085
BGD,HKG,0,0,0,1,2439.355,7.79948893907985
BGD,HRV,0,0,0,0,6969.982,8.84936792125482
BGD,HUN,0,0,0,0,6718.291,8.81258908569734
BGD,IDN,0,0,0,0,3767.354,8.234128177261367
BGD,IND,1,0,0,1,1421.938,7.259776008850066
BGD,IRL,0,0,0,0,8343.561,9.029245382640713
BGD,ISL,0,0,0,0,8667.603,9.067347560961313
BGD,ISR,0,0,0,1,5489.495,8.610591544844606
BGD,ITA,0,0,0,0,7311.514,8.897205644841867
BGD,JOR,0,0,0,1,5381.008,8.590630996200822
BGD,JPN,0,0,0,0,4903.568,8.497718382381779
BGD,KAZ,0,0,0,0,2499.756,7.823948406093102
BGD,KHM,0,0,0,0,2046.331,7.623803712507882
BGD,KOR,0,0,0,0,3800.079,8.242777134972064
BGD,LAO,0,0,0,0,1424.819,7.26180006709148
BGD,LTU,0,0,0,0,6293.525,8.747276606076097
BGD,LUX,0,0,0,0,7628.117,8.939596304830262
BGD,LVA,0,0,0,0,6395.167,8.763297827823656
BGD,MAR,0,0,0,0,9187.91,9.12564376837573
BGD,MEX,0,0,0,0,15124.74,9.624087092668647
BGD,MLT,0,0,0,1,7272.355,8.891835452047523
BGD,MMR,1,0,0,1,979.1783,6.886713750564792
